ID	Feature	sort
GB333	Is there a decimal numeral system?	numeral
GB334	Is there synchronic evidence for any element of a quinary numeral system?	numeral
GB335	Is there synchronic evidence for any element of a vigesimal numeral system?	numeral
GB336	Is there a body-part tallying system?	numeral
GB400	Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?	indexing
GB401	Is there a class of patient-labile verbs?	indexing
GB402	Does the verb for 'see' have suppletive verb forms?	suppletion, verb, TAM
GB403	Does the verb for 'come' have suppletive verb forms?	suppletion, verb, TAM
GB408	Is there any accusative alignment of flagging?	noun, case, adposition, pronoun
GB409	Is there any ergative alignment of flagging?	noun, case, adposition, pronoun
GB410	Is there any neutral alignment of flagging?	noun, case, adposition, pronoun
GB415	Is there a politeness distinction in 2nd person forms?	pronoun
GB421	Is there a preposed complementizer in complements of verbs of thinking and/or knowing?	clausal objects
GB422	Is there a postposed complementizer in complements of verbs of thinking and/or knowing?	clausal objects
GB430	Can adnominal possession be marked by a prefix on the possessor?	attributive possession
GB431	Can adnominal possession be marked by a prefix on the possessed noun?	attributive possession
GB432	Can adnominal possession be marked by a suffix on the possessor?	attributive possession
GB433	Can adnominal possession be marked by a suffix on the possessed noun?	attributive possession
GB519	Can mood be marked by a non-inflecting word ("auxiliary particle")?	verb, TAM, mood
GB520	Can aspect be marked by a non-inflecting word ("auxiliary particle")?	verb, TAM, aspect
GB521	Can tense be marked by a non-inflecting word ("auxiliary particle")?	verb, TAM, tense
GB522	Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context ("pro-drop" or "null anaphora")?	indexing
TE002	Are complex tonal distinctions lacking?	phonology
TE003	Is there palatal vowel harmony?	phonology, vowel harmony
TE004	Is there tongue root vowel harmony?	phonology, vowel harmony
TE005	Is there an initial velar nasal?	phonology
TE006	Is there an initial r-?	phonology
TE007	Are there initial consonant clusters in native words?	phonology
TE008	Is there a voicing distinction in stops?	phonology
TE014	Is there partial emphatic reduplication of nominal property words?	adjective
TE016	Is inflectional morphology predominantly suffixing?	bound morphology
TE018	Is there a mi-ti opposition in 1 vs. 2 SG personal pronouns?	pronoun
TE019	Is the secondary oblique stem of personal pronouns formed with a dental nasal?	pronoun
TE027	Can 1PL marker be augmented by a collective plural marker?	pronoun
TE031	Is there a non-initial velar nasal?	phonology
TE037	Is there a voicing distinction in fricatives?	phonology
TE038	Are there two separate liquid phonemes (r/l)?	phonology
TE039	Is there vowel length distinction?	phonology
TE046	Is there a plural/collective suffix that is restricted to animates?	noun, number
TE050	Do cardinal numerals require agreement on noun phrases?	numeral, noun
TE051	Is nominative case unmarked?	noun, case
TE052	Are accusative-marked objects specific while unmarked objects are non-specific?	noun, case
TE054	Is there a distinction between marking of interrogation in polar and content questions?	interrogation
TE055	Is acting agent in passive clause expressed by a dative-marked noun phrase?	verb, valency
TE059	Are causative and passive expressed by a formally identical marker?	verb, valency
TE062	Can relational adpositions (e.g. ‘under’) be derived from a place noun (e.g. ‘bottom’) and a locational suffix (e.g. at LOC)?	adposition, flagging
TE066	Is imperative form for 2SG identical to bare verb root?	verb, TAM, mood
TE078	Are there three laryngeal contrasts for stops?	phonology
TS001	Can numeral precede the noun?	numeral
TS002	Can numeral follow the noun?	numeral
TS003	Can demonstrative precede the noun?	demonstrative
TS004	Can demonstrative follow the noun?	demonstrative
TS005	Can adnominal possessor precede the possessed noun?	attributive possession
TS006	Can adnominal possessor follow the possessed noun?	attributive possession
TS007	Can adnominal property word precede the noun?	adjective
TS008	Can adnominal property word follow the noun?	adjective
TS009	Can adnominal collective universal quantifier (‘all’) precede the noun?	UQ
TS010	Can adnominal collective universal quantifier (‘all’) follow the noun?	UQ
TS079	Is there height vowel harmony?	phonology, vowel harmony
TS080	Is there labial vowel harmony?	phonology, vowel harmony
